//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量,myboll:UpLine,myboll:DownLine,myboll:MidLine
2019/6/21 09:00,3419,3420,3413,3415,3412,249472,3412.61,3338.15,3375.38
2019/6/21 09:30,3414,3419,3412,3415,2036,249350,3412.67,3339.04,3375.85
2019/6/21 10:00,3415,3419,3413,3415,2228,248912,3412.72,3339.94,3376.33
2019/6/21 10:30,3415,3418,3411,3414,2358,248904,3412.72,3340.92,3376.82
2019/6/21 11:00,3414,3423,3414,3421,4852,248004,3412.76,3341.81,3377.29
2019/6/21 13:30,3419,3430,3412,3415,8334,247626,3412.85,3342.68,3377.77
2019/6/21 14:00,3416,3424,3414,3423,5022,247214,3412.98,3343.37,3378.17
2019/6/21 14:30,3424,3443,3423,3440,12574,245004,3413.19,3343.98,3378.58
2019/6/21 21:00,3440,3445,3429,3442,10938,244886,3413.53,3344.57,3379.05
2019/6/21 21:30,3441,3452,3440,3451,9228,246652,3413.9,3345.14,3379.52
2019/6/21 22:00,3452,3472,3452,3472,9576,245028,3414.37,3345.62,3380
2019/6/21 22:30,3472,3472,3460,3467,14356,242600,3415.1,3345.95,3380.52
2019/6/24 09:00,3497,3510,3476,3491,38510,235932,3415.72,3346.4,3381.06
2019/6/24 09:30,3491,3520,3491,3504,14880,235900,3416.67,3346.65,3381.66
2019/6/24 10:00,3505,3505,3496,3502,6960,237282,3417.83,3346.59,3382.21
2019/6/24 10:30,3502,3505,3491,3494,8180,235886,3418.95,3346.53,3382.74
2019/6/24 11:00,3494,3503,3492,3499,3880,236036,3419.95,3346.51,3383.23
2019/6/24 13:30,3498,3503,3495,3497,3494,234942,3421,3346.45,3383.73
2019/6/24 14:00,3497,3500,3490,3498,4508,235198,3422.01,3346.46,3384.23
2019/6/24 14:30,3497,3503,3477,3484,14852,236450,3423.02,3346.48,3384.75
2019/6/24 21:00,3494,3504,3485,3500,9032,236028,3423.83,3346.63,3385.23
2019/6/24 21:30,3500,3502,3491,3500,5582,235360,3424.84,3346.67,3385.76
2019/6/24 22:00,3500,3519,3499,3518,13868,233264,3425.84,3346.74,3386.29
2019/6/24 22:30,3518,3525,3511,3514,12706,231956,3427.06,3346.58,3386.82
2019/6/25 09:00,3513,3522,3510,3511,8218,231144,3428.22,3346.57,3387.39
2019/6/25 09:30,3511,3511,3498,3503,7794,233444,3429.31,3346.59,3387.95
2019/6/25 10:00,3502,3514,3500,3512,2176,233204,3430.29,3346.63,3388.46
2019/6/25 10:30,3512,3512,3504,3506,3430,233860,3431.38,3346.61,3388.99
2019/6/25 11:00,3506,3513,3499,3504,7192,233538,3432.37,3346.66,3389.52
2019/6/25 13:30,3505,3506,3489,3496,8394,236858,3433.33,3346.77,3390.05
2019/6/25 14:00,3496,3504,3494,3502,6222,235936,3434.18,3346.95,3390.57
2019/6/25 14:30,3502,3521,3496,3517,17498,231454,3435.1,3347.12,3391.11
2019/6/25 21:00,3520,3525,3510,3523,12878,230324,3436.18,3347.22,3391.7
2019/6/25 21:30,3523,3527,3519,3522,6152,229136,3437.33,3347.21,3392.27
2019/6/25 22:00,3522,3522,3511,3518,7506,229908,3438.46,3347.25,3392.86
2019/6/25 22:30,3519,3524,3510,3511,6476,230928,3439.52,3347.32,3393.42
2019/6/26 09:00,3512,3514,3507,3508,7442,229222,3440.48,3347.5,3393.99
2019/6/26 09:30,3508,3514,3507,3510,4550,228624,3441.4,3347.66,3394.53
2019/6/26 10:00,3511,3522,3511,3518,4974,227112,3442.33,3347.73,3395.03
2019/6/26 10:30,3518,3521,3515,3517,2278,226890,3443.35,3347.79,3395.57
2019/6/26 11:00,3516,3518,3512,3517,2824,226932,3444.34,3347.85,3396.09
2019/6/26 13:30,3518,3522,3516,3518,4082,226266,3445.31,3347.89,3396.6
2019/6/26 14:00,3519,3522,3516,3517,2954,226280,3446.26,3347.85,3397.05
2019/6/26 14:30,3517,3530,3513,3527,9984,222644,3447.19,3347.83,3397.51
2019/6/26 21:00,3522,3548,3522,3548,9110,221574,3448.22,3347.76,3397.99
2019/6/26 21:30,3548,3563,3538,3560,10346,223342,3449.51,3347.59,3398.55
2019/6/26 22:00,3560,3561,3545,3551,6252,223270,3450.9,3347.29,3399.1
2019/6/26 22:30,3552,3560,3551,3558,3338,222686,3452.08,3347.01,3399.55
2019/6/27 09:00,3558,3587,3558,3579,13214,222470,3453.32,3346.69,3400.01
2019/6/27 09:30,3579,3606,3576,3599,18272,221842,3454.7,3346.21,3400.45
2019/6/27 10:00,3601,3602,3593,3594,4094,220674,3456.31,3345.58,3400.94
2019/6/27 10:30,3594,3607,3593,3606,6338,218824,3457.68,3345.02,3401.35
2019/6/27 11:00,3606,3609,3591,3591,7222,218558,3459.52,3344.43,3401.98
2019/6/27 13:30,3591,3595,3583,3589,8984,220098,3461.06,3343.96,3402.51
2019/6/27 14:00,3590,3591,3529,3534,16970,223948,3462.52,3343.52,3403.02
2019/6/27 14:30,3536,3552,3533,3537,9980,223726,3463.3,3343.4,3403.35
2019/6/27 21:00,3542,3600,3535,3587,47738,237980,3464.09,3343.27,3403.68
2019/6/27 21:30,3587,3587,3569,3569,8154,237346,3465.48,3342.88,3404.18
2019/6/27 22:00,3568,3586,3568,3573,6056,236280,3466.57,3342.59,3404.58
2019/6/27 22:30,3573,3581,3571,3574,2130,235884,3467.64,3342.3,3404.97
2019/6/28 09:00,3577,3598,3577,3592,10092,233306,3468.82,3342.02,3405.42
2019/6/28 09:30,3592,3594,3586,3592,4242,232156,3470.19,3341.65,3405.92
2019/6/28 10:00,3592,3597,3570,3573,8356,235332,3471.62,3341.32,3406.47
2019/6/28 10:30,3572,3588,3570,3578,11230,233988,3472.77,3341.09,3406.93
2019/6/28 11:00,3579,3587,3572,3587,5140,233010,3473.94,3340.84,3407.39
2019/6/28 13:30,3586,3588,3582,3584,2116,233116,3475.21,3340.55,3407.88
2019/6/28 14:00,3584,3591,3583,3584,2496,232940,3476.48,3340.32,3408.4
2019/6/28 14:30,3583,3593,3580,3589,6008,231438,3477.77,3340.11,3408.94
2019/6/28 21:00,3590,3605,3587,3600,9104,231298,3479.08,3339.88,3409.48
2019/6/28 21:30,3600,3605,3598,3599,3988,231344,3480.49,3339.58,3410.03
2019/6/28 22:00,3600,3600,3586,3591,6282,234596,3481.86,3339.3,3410.58
2019/6/28 22:30,3592,3600,3589,3599,5616,232602,3483.11,3339.07,3411.09
2019/7/1 09:00,3629,3653,3613,3642,26200,231102,3484.44,3338.81,3411.62
2019/7/1 09:30,3642,3642,3619,3631,9960,231688,3486.37,3338.34,3412.36
2019/7/1 10:00,3631,3637,3627,3632,2572,231890,3488.21,3338.04,3413.12
2019/7/1 10:30,3631,3642,3631,3637,4710,231020,3490.02,3337.75,3413.89
2019/7/1 11:00,3636,3638,3629,3635,5394,232072,3491.93,3337.53,3414.73
2019/7/1 13:30,3636,3640,3627,3636,9080,235554,3493.77,3337.33,3415.55
2019/7/1 14:00,3635,3635,3621,3626,7212,238090,3495.58,3337.09,3416.34
2019/7/1 14:30,3626,3628,3602,3616,10626,241280,3497.25,3336.93,3417.09
2019/7/1 21:00,3620,3626,3610,3616,5744,241996,3498.74,3336.79,3417.77
2019/7/1 21:30,3616,3631,3616,3629,4030,240740,3500.21,3336.64,3418.43
2019/7/1 22:00,3630,3639,3626,3633,4870,240084,3501.82,3336.46,3419.14
2019/7/1 22:30,3633,3640,3625,3638,9022,239244,3503.46,3336.27,3419.87
2019/7/2 09:00,3634,3634,3591,3594,19156,243342,3505.14,3336.06,3420.6
2019/7/2 09:30,3594,3600,3585,3596,7738,244782,3506.29,3336.03,3421.16
2019/7/2 10:00,3596,3599,3592,3594,1460,244630,3507.39,3335.95,3421.67
2019/7/2 10:30,3595,3605,3588,3604,6980,244804,3508.45,3335.88,3422.17
2019/7/2 11:00,3604,3604,3592,3596,3160,245808,3509.61,3335.79,3422.7
2019/7/2 13:30,3596,3603,3591,3597,2590,245594,3510.75,3335.78,3423.27
2019/7/2 14:00,3596,3603,3594,3602,2504,245172,3511.91,3335.8,3423.86
2019/7/2 14:30,3603,3617,3602,3605,7310,243902,3513.11,3335.8,3424.45
2019/7/2 21:00,3600,3634,3595,3630,11240,243160,3514.34,3335.81,3425.08
2019/7/2 21:30,3629,3631,3614,3622,7388,240104,3515.84,3335.75,3425.79
2019/7/2 22:00,3622,3625,3610,3610,3494,239764,3517.24,3335.74,3426.49
2019/7/2 22:30,3611,3611,3591,3594,7652,242854,3518.5,3335.77,3427.13
2019/7/3 09:00,3594,3603,3561,3571,15002,246124,3519.59,3335.85,3427.72
2019/7/3 09:30,3570,3586,3565,3581,7676,247640,3520.52,3336.06,3428.29
2019/7/3 10:00,3580,3587,3575,3583,3548,246498,3521.5,3336.21,3428.86
2019/7/3 10:30,3582,3587,3576,3584,2418,246442,3522.5,3336.38,3429.44
2019/7/3 11:00,3584,3594,3582,3588,4144,245772,3523.51,3336.55,3430.03
2019/7/3 13:30,3589,3590,3576,3579,2230,246092,3524.53,3336.71,3430.62
2019/7/3 14:00,3579,3592,3575,3585,3768,245632,3525.44,3336.83,3431.13
2019/7/3 14:30,3586,3591,3582,3584,3066,245060,3526.39,3336.95,3431.67
2019/7/3 21:00,3586,3590,3572,3576,8622,245932,3527.33,3337.07,3432.2
2019/7/3 21:30,3576,3580,3565,3569,4576,246666,3528.24,3337.28,3432.76
2019/7/3 22:00,3569,3584,3566,3582,3688,246104,3529.11,3337.55,3433.33
2019/7/3 22:30,3583,3610,3578,3598,12968,243850,3530.07,3337.77,3433.92
2019/7/4 09:00,3595,3607,3595,3600,8636,241366,3531.15,3337.95,3434.55
2019/7/4 09:30,3600,3615,3600,3608,6660,241750,3532.24,3338.12,3435.18
2019/7/4 10:00,3608,3616,3608,3615,2110,241764,3533.44,3338.36,3435.9
2019/7/4 10:30,3615,3619,3604,3605,3836,241100,3534.69,3338.57,3436.63
2019/7/4 11:00,3605,3606,3590,3590,4866,242078,3535.84,3338.81,3437.33
2019/7/4 13:30,3590,3596,3564,3580,15984,244156,3536.85,3339.09,3437.97
2019/7/4 14:00,3580,3596,3574,3595,10634,244150,3537.77,3339.4,3438.59
2019/7/4 14:30,3595,3602,3585,3591,8538,242774,3538.81,3339.67,3439.24
